"date","pnl"
"2021-06-08",-221
"2021-06-09",-192
"2021-06-10",-95
"2021=06-11",-138
"2021=06-12",-138
"2021=06-13",-138
"2021=06-14",-288
"2021=06-15",-309
"2021=06-16",-466
"2021=06-17",-564
"2021=06-18",-808
"2021=06-19",-808
"2021=06-20",-808
"2021=06-21",-763
"2021=06-22",-644
"2021=06-23",-493
"2021=06-24",-670
"2021=06-25",-699
"2021=06-26",-699
"2021=06-27",-699
"2021=06-28",-699
"2021=06-29",-748
"2021=06-30",-829
"2021=07-01",-829
"2021=07-02",-823
"2021=07-03",-823
"2021=07-04",-823
"2021=07-05",-789
"2021=07-06",-751
"2021=07-07",-728
